Date,LogReturn
2015-01-05,0.01498000666245465
2015-01-06,0.01271065639212335
2015-01-07,-0.00716087932157311
2015-01-08,-0.0018188935745322122
2015-01-09,0.006269592809968894
2015-01-12,0.013640062420648448
2015-01-13,0.0012972013624871278
2015-01-14,8.099451778340471e-05
2015-01-15,0.0242498594504341
2015-01-16,0.009600383272961813
2015-01-20,0.013457421344314642
2015-01-21,-0.0003864137138910775
2015-01-22,0.005396251348961029
2015-01-23,-0.00624686858857903
2015-01-26,-0.010264437842764765
2015-01-27,0.009567905338056997
2015-01-28,-0.004500261174159382
2015-01-29,-0.024642104059361822
2015-01-30,0.018870738528237115
2015-02-02,-0.0018006415575542159
2015-02-03,-0.013013315577139663
2015-02-04,0.003249535378765735
2015-02-05,-0.0014253298741546375
2015-02-06,-0.022517859410575658
2015-02-09,0.005576467523877212
2015-02-10,-0.007442254987160046
2015-02-11,-0.010283266746028365
2015-02-12,0.0009019520901303559
2015-02-13,0.005231782127142109
2015-02-17,-0.015115727381669742
2015-02-18,-0.006977372496271956
2015-02-19,0.0061492836610937025
2015-02-20,-0.002239230603391369
2015-02-23,-0.0034099716670723044
2015-02-24,-0.0028366649341615255
2015-02-25,0.00341964180291274
2015-02-26,0.007135163161701397
2015-02-27,0.0024770882622964334
2015-03-02,-0.0040491106533266635
2015-03-03,-0.0030683369818883667
2015-03-04,-0.0028279353859085
2015-03-05,-0.003922351093293688
2015-03-06,-0.02695082510784794
2015-03-09,0.0019738679038005798
2015-03-10,-0.0054159159489475485
2015-03-11,-0.008135776840567531
2015-03-12,0.0012159324570827387
2015-03-13,0.0004338959677507792
2015-03-16,0.0006072017488049268
2015-03-17,-0.004344810265399723
2015-03-18,0.0026959841412746766
2015-03-19,0.015255586684473977
2015-03-20,0.013339824035723362
2015-03-23,0.0026971957568776507
2015-03-24,0.0031095972006652695
2015-03-25,0.0046882443814050614
2015-03-26,0.006493468269733933
2015-03-27,-0.004407613858515569
2015-03-30,-0.012580891750166273
2015-03-31,-0.0014359335417667746
2015-04-01,0.0209107656929285
2015-04-02,-0.005977561320432106
2015-04-06,0.014631342783434479
2015-04-07,-0.006586554489201088
2015-04-08,-0.006214545543826507
2015-04-09,-0.007927608751493799
2015-04-10,0.009173611346904613
2015-04-13,-0.004409447390731536
2015-04-14,-0.005434568565282116
2015-04-15,0.00726725079027736
2015-04-16,-0.002917276501128989
2015-04-17,0.004081828620635487
2015-04-20,-0.007845161517145325
2015-04-21,0.007845161517145236
2015-04-22,-0.013390441663967216
2015-04-23,0.006299101033358327
2015-04-24,-0.016205683354533523
2015-04-27,0.023629518711741584
2015-04-28,0.008852869596814293
2015-04-29,-0.0034655955861370943
2015-04-30,-0.022908805191481592
2015-05-01,-0.006703766742857445
2015-05-04,0.010418125460371878
2015-05-05,0.005378082159257571
2015-05-06,-0.002433315523067671
2015-05-07,-0.006659125353704526
2015-05-08,0.005650406070161
2015-05-11,-0.004974106783250917
2015-05-12,0.007913186088978619
2015-05-13,0.02140276540104405
2015-05-14,0.005728798596137671
2015-05-15,8.158275327200206e-05
2015-05-18,0.0018750657940217385
2015-05-19,-0.01716888090960008
2015-05-20,0.0016557665506276972
2015-05-21,-0.003729337524911823
2015-05-22,-8.301206705275282e-05
2015-05-26,-0.01430097352694823
2015-05-27,-0.0010955517266055808
2015-05-28,0.0018533713577155101
2015-05-29,0.0010936268834478497
2015-06-01,-0.0009252434121427846
2015-06-02,0.004868987707043961
2015-06-03,-0.007903206348653132
2015-06-04,-0.008306478391888725
2015-06-05,-0.00606137969172326
2015-06-08,0.004613337822188803
2015-06-09,0.0034887060751304954
2015-06-10,0.007446870892935644
2015-06-11,-0.005240883654242222
2015-06-12,-0.0009326965120805852
2015-06-15,0.0054989349947638985
2015-06-16,-0.004057870754626063
2015-06-17,-0.0034791290925295453
2015-06-18,0.021111827743485453
2015-06-19,0.0
2015-06-22,-0.014925691467098958
2015-06-23,-0.006356223197024235
2015-06-24,-0.0030653768027383383
2015-06-25,-0.0009385057618116827
2015-06-26,0.0011943563947357445
2015-06-29,0.004763108033599618
2015-06-30,-0.005957464428335503
2015-07-01,-0.0021362964757819457
2015-07-02,-0.005145808953403949
2015-07-06,0.008476461823921842
2015-07-07,-0.01763258994680646
2015-07-08,0.009414090400743112
2015-07-09,-0.003703271456771109
2015-07-10,-0.001122328304907492
2015-07-13,-0.002161789164397025
2015-07-14,-0.0016460063008068057
2015-07-15,-0.005303292287155819
2015-07-16,-0.0029680531118790564
2015-07-17,-0.010546766320174742
2015-07-20,-0.022426758700162933
2015-07-21,-0.002986226185725619
2015-07-22,-0.010935045842920037
2015-07-23,0.0023794058603042695
2015-07-24,-0.007707896950271182
2015-07-27,0.009990481826287456
2015-07-28,-0.0001823706384319658
2015-07-29,-0.003289265328567696
2015-07-30,-0.003942902550703331
2015-07-31,0.0059543068371229295
2015-08-03,-0.005035948817230393
2015-08-04,0.0011925388068687703
2015-08-05,-0.004594751903060489
2015-08-06,0.004136225578011975
2015-08-07,0.0035709643265033203
2015-08-10,0.00918896146112403
2015-08-11,0.003074443624916577
2015-08-12,0.01398622054471554
2015-08-13,-0.006699743964643952
2015-08-14,-0.0025127239178519196
2015-08-17,0.0051086386452189395
2015-08-18,-0.0013418618399914416
2015-08-19,0.009798760247176764
2015-08-20,0.02183246129993839
2015-08-21,0.005707855724575729
2015-08-24,-0.0053609736452838765
2015-08-25,-0.01326609907875266
2015-08-26,-0.012020629120604693
2015-08-27,-0.0019581236090830427
2015-08-28,0.009487946300354527
